Regione,date,Rt
Lombardia,2021-06-28,0.66
Lombardia,2021-06-21,0.63
Lombardia,2021-06-14,0.67
Lombardia,2021-06-07,0.8
Lombardia,2021-05-31,0.64
Lombardia,2021-05-24,0.68
Lombardia,2021-05-17,0.70
Lombardia,2021-05-10,0.78
Lombardia,2021-05-03,0.84
Lombardia,2021-04-26,0.89
Lombardia,2021-04-19,0.80
Lombardia,2021-04-12,0.74
Lombardia,2021-04-05,0.77
Lombardia,2021-03-29,0.84
Lombardia,2021-03-22,0.92
Lombardia,2021-03-15,1.06
Lombardia,2021-03-08,1.16
Lombardia,2021-03-01,1.23
Lombardia,2021-02-22,1.09
Lombardia,2021-02-15,0.84
Lombardia,2021-02-08,1.01
Lombardia,2021-02-01,0.98
Lombardia,2021-01-25,0.90
Lombardia,2021-01-18,0.92
Lombardia,2021-01-11,0.84
Lombardia,2021-01-04,1.01
Lombardia,2020-12-28,1.22
Lombardia,2020-12-21,0.97
Lombardia,2020-12-14,0.96
Lombardia,2020-12-07,1.02
Lombardia,2020-11-30,0.85
Lombardia,2020-11-23,0.97
Lombardia,2020-11-16,1.24
Lombardia,2020-11-09,1.25
Lombardia,2020-11-02,1.61
Lombardia,2020-10-26,2.08
Lombardia,2020-10-19,2.09
Lombardia,2020-10-12,1.64
Lombardia,2020-10-05,1.15
Lombardia,2020-09-28,0.95
Lombardia,2020-09-21,0.86
Lombardia,2020-09-14,0.75
Lombardia,2020-09-07,0.74
Umbria,2021-06-28,0.85
Umbria,2021-06-21,0.89
Umbria,2021-06-14,0.83
Umbria,2021-06-07,0.83
Umbria,2021-05-31,0.76
Umbria,2021-05-24,0.73
Umbria,2021-05-17,0.85
Umbria,2021-05-10,0.95
Umbria,2021-05-03,0.99
Umbria,2021-04-26,0.94
Umbria,2021-04-19,0.91
Umbria,2021-04-12,0.88
Umbria,2021-04-05,0.89
Umbria,2021-03-29,0.90
Umbria,2021-03-22,0.88
Umbria,2021-03-15,0.95
Umbria,2021-03-08,0.91
Umbria,2021-03-01,0.82
Umbria,2021-02-22,0.89
Umbria,2021-02-15,1.05
Umbria,2021-02-08,1.19
Umbria,2021-02-01,1.24
Umbria,2021-01-25,1.16
Umbria,2021-01-18,1.03
Umbria,2021-01-11,1.11
Umbria,2021-01-04,1.21
Umbria,2020-12-28,1.00
Umbria,2020-12-21,0.82
Umbria,2020-12-14,0.78
Umbria,2020-12-07,0.75
Umbria,2020-11-30,0.73
Umbria,2020-11-23,0.71
Umbria,2020-11-16,0.86
Umbria,2020-11-09,1.09
Umbria,2020-11-02,1.43
Umbria,2020-10-26,1.53
Umbria,2020-10-19,1.67
Umbria,2020-10-12,1.69
Umbria,2020-10-05,1.40
Umbria,2020-09-28,1.12
Umbria,2020-09-21,1.07
Umbria,2020-09-14,1.06
Umbria,2020-09-07,0.85
